,participant,word,onset,ep_type,last_sound,context
586,4,twin,tw,none,na,context
587,4,twitches,tw,none,n,passage
588,4,twitches,tw,none,na,context
589,5,beautiful,bj,none,r,passage
590,5,beautiful,bj,na,na,context
591,5,breeze,br,none,e,passage
592,5,breeze,br,na,na,context
593,5,bring,br,none,r,passage
594,5,bring,br,na,na,context
595,5,brings,br,none,r,passage
596,5,brings,br,na,na,context
597,5,brother,br,none,n,passage
598,5,brother,br,na,na,context
599,5,bugle,bj,none,f,passage
600,5,bugle,bj,na,na,context
601,5,clean,kl,none,n,passage
602,5,clean,kl,na,na,context
603,5,creek,kr,none,r,passage
604,5,creek,kr,na,na,context
605,5,cute,kj,none,e,passage
606,5,cute,kj,na,na,context
607,5,dreaming,dr,none,p,passage
608,5,dreaming,dr,na,na,context
609,5,drink,dr,none,i,passage
610,5,drink,dr,na,na,context
611,5,dwarf,dw,none,e,passage
612,5,dwarf,dw,na,na,context
613,5,dwayne,dw,none,na,passage
614,5,dwayne,dw,na,na,context
615,5,flickering,fl,none,t,passage
616,5,flickering,fl,na,na,context
617,5,flock,fl,none,e,passage
618,5,flock,fl,na,na,context
619,5,floor,fl,none,i,passage
620,5,floor,fl,na,na,context
621,5,fly,fl,none,s,passage
622,5,fly,fl,na,na,context
623,5,flying,fl,none,s,passage
624,5,flying,fl,na,na,context
625,5,freaks,fr,none,i,passage
626,5,freaks,fr,na,na,context
627,5,gloves,gl,none,l,passage
628,5,gloves,gl,na,na,context
629,5,grabs,gr,none,d,passage
630,5,grabs,gr,na,na,context
631,5,ground,gr,none,e,passage
632,5,ground,gr,na,na,context
633,5,place,pl,none,u,passage
634,5,place,pl,na,na,context
635,5,please,pl,none,na,passage
636,5,please,pl,na,na,context
637,5,plethora,pl,none,e,passage
638,5,plethora,pl,na,na,context
639,5,quacks,kw,none,d,passage
640,5,quacks,kw,na,na,context
641,5,queen,kw,none,e,passage
642,5,queen,kw,na,na,context
643,5,quickly,kw,none,r,passage
644,5,quickly,kw,na,na,context
645,5,scarlett,sk,none,k,passage
646,5,scarlett,sk,na,na,context
647,5,scoop,sk,none,n,passage
648,5,scoop,sk,na,na,context
649,5,skeptical,sk,none,z,passage
650,5,skeptical,sk,na,na,context
651,5,skin,sk,none,z,passage
652,5,skin,sk,na,na,context
653,5,skip,sk,none,n,passage
654,5,skip,sk,na,na,context
655,5,sleep,sl,none,d,passage
656,5,sleep,sl,na,na,context
657,5,slips,sl,none,u,passage
658,5,slips,sl,na,na,context
659,5,sloth,sl,none,l,passage
660,5,sloth,sl,na,na,context
661,5,slouched,sl,none,z,passage
662,5,slouched,sl,na,na,context
663,5,slow,sl,none,t,passage
664,5,slow,sl,na,na,context
665,5,slugs,sl,none,i,passage
666,5,slugs,sl,na,na,context
667,5,smacked,sm,none,t,passage
668,5,smacked,sm,na,na,context
669,5,small,sm,none,s,passage
670,5,small,sm,none,r,passage
671,5,small,sm,na,na,context
672,5,small,sm,na,na,context
673,5,smelling,sm,none,z,passage
674,5,smelling,sm,na,na,context
675,5,smiles,sm,none,p,passage
676,5,smiles,sm,na,na,context
677,5,smith,sm,none,na,passage
678,5,smith,sm,na,na,context
679,5,smog,sm,none,k,passage
680,5,smog,sm,na,na,context
681,5,snag,sn,none,d,passage
682,5,snag,sn,na,na,context
683,5,snaps,sn,none,n,passage
684,5,snaps,sn,na,na,context
685,5,snatch,sn,none,n,passage
686,5,snatch,sn,na,na,context
687,5,sniffs,sn,none,o,passage
688,5,sniffs,sn,na,na,context
689,5,snips,sn,none,i,passage
690,5,snips,sn,na,na,context
691,5,snoops,sn,none,d,passage
692,5,snoops,sn,na,na,context
693,5,snow,sn,none,e,passage
694,5,snow,sn,na,na,context
695,5,spark,sp,none,g,passage
696,5,spark,sp,na,na,context
697,5,speed,sp,none,l,passage
698,5,speed,sp,na,na,context
699,5,spreading,sp,none,l,passage
700,5,spreading,sp,na,na,context
701,5,start,st,none,d,passage
702,5,start,st,na,na,context
703,5,starts,st,none,s,passage
704,5,starts,st,none,d,passage
705,5,starts,st,na,na,context
706,5,steps,st,none,n,passage
707,5,steps,st,na,na,context
708,5,stop,st,none,t,passage
709,5,stop,st,na,na,context
710,5,swats,sw,none,d,passage
711,5,swats,sw,na,na,context
712,5,sweeping,sw,none,z,passage
713,5,sweeping,sw,na,na,context
714,5,sweeps,sw,none,d,passage
715,5,sweeps,sw,na,na,context
716,5,swim,sw,none,d,passage
717,5,swim,sw,na,na,context
718,5,swoon,sw,none,n,passage
719,5,swoon,sw,na,na,context
720,5,thrashing,θr,none,z,passage
721,5,thrashing,θr,na,na,context
722,5,thread,θr,none,r,passage
723,5,thread,θr,na,na,context
724,5,three,θr,none,m,passage
725,5,three,θr,na,na,context
726,5,throttle,θr,none,z,passage
727,5,throttle,θr,na,na,context
728,5,trot,tr,none,z,passage
729,5,trot,tr,na,na,context
730,5,tweaking,tw,none,n,passage
731,5,tweaking,tw,na,na,context
732,5,twin,tw,none,r,passage
733,5,twin,tw,na,na,context
734,5,twitches,tw,none,n,passage
735,5,twitches,tw,na,na,context
736,6,beautiful,bj,none,r,passage
737,6,beautiful,bj,na,na,context
738,6,breeze,br,none,e,passage
739,6,breeze,br,na,na,context
740,6,bring,br,none,r,passage
741,6,bring,br,na,na,context
742,6,brings,br,none,r,passage
743,6,brings,br,na,na,context
744,6,brother,br,none,n,passage
745,6,brother,br,na,na,context
