participant,word ,onset,ep_type,last_sound ,context 
3,sniffs ,sn ,none,na,context 
3,flock ,fl ,none,na,context 
3,snatch ,sn ,none,na,context 
3,small ,sm ,none,na,context 
3,slow ,sl ,none,na,context 
3,stop ,st ,none,na,context 
3,smacked ,sm ,none,na,context 
3,skeptical ,sk ,none,na,context 
3,fly ,fl ,none,na,context 
3,breeze ,br ,none,na,context 
3,queen ,kw ,none,na,context 
3,twitches ,tw ,none,na,context 
3,throttle ,θr,none,na,context 
3,brings ,br ,none,na,context 
3,three ,θr,none,na,context 
3,sleep ,sl ,none,na,context 
3,scarlett ,sk ,none,na,context 
3,creek ,kr ,none,na,context 
3,plethora ,pl ,none,na,context 
3,snow ,sn ,none,na,context 
3,smelling ,sm ,none,na,context 
3,brother ,br ,none,na,context 
3,freaks ,fr ,none,na,context 
3,start ,st,none,na,context
4,trot ,tr ,none,z,passage 
4,snaps ,sn ,none,n,passage 
4,dwayne ,dw ,none,na,passage 
4,cute ,kj ,none,e,passage 
4,swats ,sw ,none,d,passage 
4,gloves ,gl ,none,l,passage 
4,smith ,sm ,none,na,passage 
4,starts ,st ,none,s,passage 
4,steps ,st ,none,n,passage 
4,slugs ,sl ,none,i,passage 
4,quacks ,kw ,none,d,passage 
4,skip ,sk ,none,n,passage 
4,flying ,fl ,none,s,passage 
4,drink ,dr ,none,i,passage 
4,grabs ,gr ,none,d,passage 
4,smog ,sm ,none,k,passage 
4,beautiful ,bj ,none,r,passage 
4,dwarf ,dw ,none,e,passage 
4,quickly ,kw ,none,r,passage 
4,snoops ,sn ,prothesis ,d,passage 
4,bring ,br ,none,r,passage 
4,start ,st ,none,d,passage 
4,flickering ,fl ,none,t,passage 
4,spark ,sp ,none,g,passage 
4,small ,sm ,none,s,passage 
4,scoop ,sk ,none,n,passage 
4,skin ,sk ,none,z,passage 
4,snag ,sn ,none,d,passage 
4,thread ,θr ,none,r,passage 
4,sweeps ,sw ,none,d,passage 
4,please ,pl ,none,na,passage 
4,floor ,fl ,none,i,passage 
4,thrashing ,θr,none,z,passage 
4,speed ,sp ,none,l,passage 
4,smiles ,sm ,none,p,passage 
4,swoon ,sw ,none,n,passage 
4,slouched ,sl ,none,z,passage 
4,swim ,sw ,none,d,passage 
4,dreaming ,dr ,none,p,passage 
4,twin ,tw ,none,r,passage 
4,bugle ,bj ,none,f,passage 
4,clean ,kl ,none,n,passage 
4,snips ,sn ,none,i,passage 
4,ground ,gr ,none,e,passage 
4,slips ,sl ,none,u,passage 
4,place ,pl ,none,u,passage 
4,tweaking ,tw ,none,n,passage 
4,sweeping ,sw ,none,z,passage 
4,sloth ,sl ,none,l,passage 
4,spreading ,sp,none,l,passage 
4,sniffs ,sn ,none,o,passage 
4,flock ,fl ,none,e,passage 
4,snatch ,sn ,none,n,passage 
4,small ,sm ,none,r,passage 
4,slow ,sl ,none,t,passage 
4,stop ,st ,none,t,passage 
4,smacked ,sm ,none,t,passage 
4,skeptical ,sk ,prothesis ,z,passage 
4,fly ,fl ,none,s,passage 
