participant,word,onset,ep_type,has_ep,preceding_v,context,nap_sonority,sonority_delta,gender,dominant_language,current_farsi_exposure,current_english_exposure,length_of_farsi_residence,farsi_speaking_proficiency,farsi_understanding_proficiency,farsi_reading_proficiency,age_of_english_acquisition,age_of_english_fluency,length_of_english_residence,english_speaking_proficiency,english_understanding_proficiency,english_reading_proficiency,PC1,PC2
1,flickering,fl,none,FALSE,FALSE,context,5,2,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,spark,sp,none,FALSE,FALSE,context,3,-1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,small,sm,none,FALSE,FALSE,context,5,1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,scoop,sk,none,FALSE,FALSE,context,3,-1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,skin,sk,none,FALSE,FALSE,context,3,-1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,snag,sn,none,FALSE,FALSE,context,5,1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,thread,θr,none,FALSE,FALSE,context,5,2,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,sweeps,sw,none,FALSE,FALSE,context,6,3,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,please,pl,none,FALSE,FALSE,context,5,3,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,floor,fl,none,FALSE,FALSE,context,5,2,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,thrashing,θr,none,FALSE,FALSE,context,5,2,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,speed,sp,none,FALSE,FALSE,context,3,-1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,smiles,sm,none,FALSE,FALSE,context,5,1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,swoon,sw,none,FALSE,FALSE,context,6,3,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,slouched,sl,none,FALSE,FALSE,context,5,2,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,swim,sw,none,FALSE,FALSE,context,6,3,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,dreaming,dr,none,FALSE,FALSE,context,3,3,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,twin,tw,none,FALSE,FALSE,context,6,4,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,clean,kl,none,FALSE,FALSE,context,5,3,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,snips,sn,none,FALSE,FALSE,context,5,1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,ground,gr,none,FALSE,FALSE,context,3,3,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,slips,sl,none,FALSE,FALSE,context,5,2,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,place,pl,none,FALSE,FALSE,context,5,3,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,tweaking,tw,none,FALSE,FALSE,context,6,4,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,sweeping,sw,none,FALSE,FALSE,context,6,3,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,sloth,sl,none,FALSE,FALSE,context,5,2,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,spreading,sp,none,FALSE,FALSE,context,3,-1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,sniffs,sn,none,FALSE,FALSE,context,5,1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,flock,fl,none,FALSE,FALSE,context,5,2,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,snatch,sn,none,FALSE,FALSE,context,5,1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,small,sm,none,FALSE,FALSE,context,5,1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,slow,sl,none,FALSE,FALSE,context,5,2,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,stop,st,none,FALSE,FALSE,context,3,-1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,smacked,sm,none,FALSE,FALSE,context,5,1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,skeptical,sk,none,FALSE,FALSE,context,3,-1,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,fly,fl,none,FALSE,FALSE,context,5,2,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,breeze,br,none,FALSE,FALSE,context,3,3,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,queen,kw,none,FALSE,FALSE,context,6,4,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,twitches,tw,none,FALSE,FALSE,context,6,4,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,throttle,θr,none,FALSE,FALSE,context,5,2,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,brings,br,none,FALSE,FALSE,context,3,3,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,three,θr,none,FALSE,FALSE,context,5,2,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
1,sleep,sl,none,FALSE,FALSE,context,5,2,Male,farsi,50,50,10,7,7,4,8,15,43,6,10,9,-22.526674091042956,11.543661256376302
